,State_FIPS_Code,State,State_Abbreviation,City/County,Year,Annual_Minimum,Annual_Average,Annual_Maximum,Local_greater_State_min_wage,County_FIPS_Code
0,6,California,CA,Alameda,2004,6.75,6.75,6.75,0,06001
1,6,California,CA,Alameda,2005,6.75,6.75,6.75,0,06001
2,6,California,CA,Alameda,2006,6.75,6.75,6.75,0,06001
3,6,California,CA,Alameda,2007,7.5,7.5,7.5,0,06001
4,6,California,CA,Alameda,2008,8.0,8.0,8.0,0,06001
5,6,California,CA,Alameda,2009,8.0,8.0,8.0,0,06001
6,6,California,CA,Alameda,2010,8.0,8.0,8.0,0,06001
7,6,California,CA,Alameda,2011,8.0,8.0,8.0,0,06001
8,6,California,CA,Alameda,2012,8.0,8.0,8.0,0,06001
9,6,California,CA,Alameda,2013,8.0,8.0,8.0,0,06001
10,6,California,CA,Alameda,2014,8.0,8.504109589041096,9.0,0,06001
11,6,California,CA,Alameda,2015,9.0,9.0,9.0,0,06001
12,6,California,CA,Alameda,2016,10.0,10.0,10.0,0,06001
13,6,California,CA,Alameda,2017,10.5,10.5,10.5,0,06001
14,6,California,CA,Alameda,2018,11.0,11.0,11.0,0,06001
15,6,California,CA,Alameda,2019,12.0,12.756164383561643,13.5,1,06001
16,6,California,CA,Alameda,2020,13.5,14.254098360655737,15.0,1,06001
17,6,California,CA,Alameda,2021,15.0,15.0,15.0,1,06001
18,6,California,CA,Alameda,2022,15.0,15.378082191780821,15.75,1,06001
19,35,New Mexico,NM,Albuquerque,2004,5.15,5.150000000000033,5.15,0,35001
20,35,New Mexico,NM,Albuquerque,2005,5.15,5.150000000000033,5.15,0,35001
21,35,New Mexico,NM,Albuquerque,2006,5.15,5.150000000000033,5.15,0,35001
22,35,New Mexico,NM,Albuquerque,2007,6.75,6.75,6.75,1,35001
23,35,New Mexico,NM,Albuquerque,2008,7.15,7.150000000000048,7.15,1,35001
24,35,New Mexico,NM,Albuquerque,2009,7.5,7.5,7.5,0,35001
25,35,New Mexico,NM,Albuquerque,2010,7.5,7.5,7.5,0,35001
26,35,New Mexico,NM,Albuquerque,2011,7.5,7.5,7.5,0,35001
27,35,New Mexico,NM,Albuquerque,2012,7.5,7.5,7.5,0,35001
28,35,New Mexico,NM,Albuquerque,2013,8.5,8.5,8.5,1,35001
29,35,New Mexico,NM,Albuquerque,2014,8.6,8.599999999999945,8.6,1,35001
30,35,New Mexico,NM,Albuquerque,2015,8.75,8.75,8.75,1,35001
31,35,New Mexico,NM,Albuquerque,2016,8.75,8.75,8.75,1,35001
32,35,New Mexico,NM,Albuquerque,2017,8.8,8.800000000000047,8.8,1,35001
